run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_baseline_lambda_s_0,0,0,0.036,0.002482073910645339,0.05370147526264191
neural_baseline_lambda_s_0,0,1,0.0635,0.008765339871534562,0.08155040442943573
neural_baseline_lambda_s_0,0,2,0.12,0.0420920025934483,0.12222567200660706
neural_baseline_lambda_s_0,0,3,0.187,0.08672126556945388,0.19493581354618073
neural_baseline_lambda_s_0,0,4,0.2965,0.23220906214135167,0.30571430921554565
neural_baseline_lambda_s_0,0,5,0.3345,0.28698829156992317,0.34821194410324097
neural_baseline_lambda_s_0,0,6,0.369,0.32065661731370554,0.3817903995513916
neural_baseline_lambda_s_0,0,7,0.398,0.3613750031417467,0.40909796953201294
neural_baseline_lambda_s_0,0,8,0.4305,0.39112220118049323,0.42569077014923096
neural_baseline_lambda_s_0,0,9,0.421,0.38310348144128475,0.43190884590148926
neural_baseline_lambda_s_0,0,10,0.4215,0.38406052053365236,0.43224579095840454
neural_baseline_lambda_s_0,0,11,0.4355,0.4054109761475789,0.4391162097454071
neural_baseline_lambda_s_0,0,12,0.4335,0.4079924757090535,0.4293021857738495
neural_baseline_lambda_s_0,0,13,0.4345,0.40865880338969046,0.4228672385215759
neural_baseline_lambda_s_0,0,14,0.4375,0.4100545473402459,0.42985257506370544
neural_baseline_lambda_s_0,0,15,0.436,0.4109736711628133,0.4323056638240814
neural_baseline_lambda_s_0,0,16,0.4695,0.45829168221892086,0.4490226209163666
neural_baseline_lambda_s_0,0,17,0.467,0.45500341671673883,0.44387462735176086
neural_baseline_lambda_s_0,0,18,0.498,0.484688076612844,0.4614579379558563
neural_baseline_lambda_s_0,0,19,0.5115,0.49644109213122906,0.4710310399532318
neural_baseline_lambda_s_0,0,20,0.5155,0.4995854947084889,0.4691076874732971
neural_claq_lambda_s_0_4,0,0,0.036,0.002482073910645339,0.058733418583869934
neural_claq_lambda_s_0_4,0,1,0.066,0.010086713786828847,0.09596647322177887
neural_claq_lambda_s_0_4,0,2,0.1195,0.04876402726265179,0.15876716375350952
neural_claq_lambda_s_0_4,0,3,0.1945,0.12465157002595416,0.21024689078330994
neural_claq_lambda_s_0_4,0,4,0.2865,0.22325974564515458,0.3100951611995697
neural_claq_lambda_s_0_4,0,5,0.323,0.2634257934061306,0.35764849185943604
neural_claq_lambda_s_0_4,0,6,0.3575,0.3139037180552761,0.38960757851600647
neural_claq_lambda_s_0_4,0,7,0.3665,0.33111925435783823,0.4020485281944275
neural_claq_lambda_s_0_4,0,8,0.377,0.3382580658551858,0.40237724781036377
neural_claq_lambda_s_0_4,0,9,0.3715,0.33473736753803024,0.4098029136657715
neural_claq_lambda_s_0_4,0,10,0.3805,0.34025646179568014,0.41197508573532104
neural_claq_lambda_s_0_4,0,11,0.395,0.3605396074573125,0.4217889904975891
neural_claq_lambda_s_0_4,0,12,0.4095,0.37590770587871314,0.4212445914745331
neural_claq_lambda_s_0_4,0,13,0.4065,0.3732520968425768,0.41866785287857056
neural_claq_lambda_s_0_4,0,14,0.4185,0.3912628775605126,0.4218805134296417
neural_claq_lambda_s_0_4,0,15,0.4245,0.4072255778895424,0.4301222562789917
neural_claq_lambda_s_0_4,0,16,0.4525,0.4472382009501272,0.44438567757606506
neural_claq_lambda_s_0_4,0,17,0.4525,0.4402740432389135,0.4484904110431671
neural_claq_lambda_s_0_4,0,18,0.4575,0.4530891195409906,0.45274817943573
neural_claq_lambda_s_0_4,0,19,0.457,0.4516448224636469,0.45377349853515625
neural_claq_lambda_s_0_4,0,20,0.4865,0.4909105079545006,0.46921905875205994
neural_baseline_lambda_s_0,1,0,0.0355,0.0024487825067255296,0.047871582210063934
neural_baseline_lambda_s_0,1,1,0.0675,0.010234834884922855,0.07875961065292358
neural_baseline_lambda_s_0,1,2,0.1255,0.050215143952481875,0.1329042911529541
neural_baseline_lambda_s_0,1,3,0.1985,0.10105269140610414,0.2133425772190094
neural_baseline_lambda_s_0,1,4,0.272,0.19345543718229744,0.29033008217811584
neural_baseline_lambda_s_0,1,5,0.308,0.23739393465123265,0.3167608380317688
neural_baseline_lambda_s_0,1,6,0.3455,0.2856153529187067,0.34651055932044983
neural_baseline_lambda_s_0,1,7,0.382,0.3266922898737848,0.3834162652492523
neural_baseline_lambda_s_0,1,8,0.393,0.3378399874379006,0.4034375548362732
neural_baseline_lambda_s_0,1,9,0.398,0.35110185258760007,0.4132402837276459
neural_baseline_lambda_s_0,1,10,0.417,0.36979695829611803,0.4267131984233856
neural_baseline_lambda_s_0,1,11,0.427,0.38739576759184713,0.432201087474823
neural_baseline_lambda_s_0,1,12,0.457,0.43623948223274667,0.45080792903900146
neural_baseline_lambda_s_0,1,13,0.4715,0.45314988258783684,0.4620410203933716
neural_baseline_lambda_s_0,1,14,0.4785,0.45726392438775754,0.4661027491092682
neural_baseline_lambda_s_0,1,15,0.5045,0.4976312073478485,0.49702948331832886
neural_baseline_lambda_s_0,1,16,0.5235,0.517861346461447,0.5082291960716248
neural_baseline_lambda_s_0,1,17,0.526,0.5255115850433306,0.5081449151039124
neural_baseline_lambda_s_0,1,18,0.5325,0.5399905438433025,0.5093631148338318
neural_baseline_lambda_s_0,1,19,0.523,0.5277348275391506,0.5077725052833557
neural_baseline_lambda_s_0,1,20,0.521,0.5256517839532729,0.5096690654754639
neural_claq_lambda_s_0_4,1,0,0.0355,0.0024487825067255296,0.04579158127307892
neural_claq_lambda_s_0_4,1,1,0.0695,0.009863813765504853,0.08731149137020111
neural_claq_lambda_s_0_4,1,2,0.1185,0.04004000820431244,0.13644081354141235
neural_claq_lambda_s_0_4,1,3,0.201,0.12241237600397367,0.22876690328121185
neural_claq_lambda_s_0_4,1,4,0.2795,0.1946814963385173,0.31663912534713745
neural_claq_lambda_s_0_4,1,5,0.3075,0.22781954353126002,0.34837162494659424
neural_claq_lambda_s_0_4,1,6,0.328,0.2618466700043306,0.39074042439460754
neural_claq_lambda_s_0_4,1,7,0.343,0.278973751497863,0.391297847032547
neural_claq_lambda_s_0_4,1,8,0.3705,0.3061690535591932,0.40853649377822876
neural_claq_lambda_s_0_4,1,9,0.3895,0.3257052884822725,0.4135470688343048
neural_claq_lambda_s_0_4,1,10,0.4025,0.3463907853496962,0.4307433068752289
neural_claq_lambda_s_0_4,1,11,0.438,0.3908154077615712,0.4507565498352051
neural_claq_lambda_s_0_4,1,12,0.451,0.4190916858524716,0.46177154779434204
neural_claq_lambda_s_0_4,1,13,0.459,0.4340458098668315,0.4628623127937317
neural_claq_lambda_s_0_4,1,14,0.461,0.43644447354484445,0.46389880776405334
neural_claq_lambda_s_0_4,1,15,0.4645,0.44835809862563,0.4654085338115692
neural_claq_lambda_s_0_4,1,16,0.4615,0.44417200346594216,0.4649679660797119
neural_claq_lambda_s_0_4,1,17,0.471,0.45433476563626835,0.4746522307395935
neural_claq_lambda_s_0_4,1,18,0.4745,0.45973594396621514,0.471828430891037
neural_claq_lambda_s_0_4,1,19,0.499,0.48297100308604834,0.48113977909088135
neural_claq_lambda_s_0_4,1,20,0.5045,0.4949758126025687,0.47663414478302
neural_baseline_lambda_s_0,2,0,0.036,0.002482073910645339,0.0481572225689888
neural_baseline_lambda_s_0,2,1,0.0655,0.00890759682795081,0.07701528817415237
neural_baseline_lambda_s_0,2,2,0.1065,0.026655332592970808,0.12309522181749344
neural_baseline_lambda_s_0,2,3,0.189,0.09092829247950478,0.21437127888202667
neural_baseline_lambda_s_0,2,4,0.2685,0.19052863727534658,0.28774967789649963
neural_baseline_lambda_s_0,2,5,0.3455,0.2756685792287544,0.37831488251686096
