run_name,seed,epoch,lambda_s,actor_eps,train_accuracy,train_loss,train_task_loss,train_sensitive_loss,train_sensitive_query_rate,train_query_entropy,validation_accuracy,validation_loss,validation_task_loss,validation_sensitive_loss,validation_sensitive_query_rate,validation_query_entropy
neural_baseline_lambda_s_0,0,1,0.0,1.0,0.1191,3.364801341295242,3.029305064678192,0.33549628406763077,0.596875,1.0499788913875818e-05,0.147,3.3617528080940247,2.7773455381393433,0.5844072699546814,0.02609779080376029,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,2,0.0,0.9836734693877551,0.1666,3.1127573013305665,2.743535351753235,0.36922194100916383,0.215234375,1.0499788913875818e-05,0.186,3.0036861896514893,2.683144986629486,0.3205411657691002,0.08327720873057842,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,3,0.0,0.9673469387755103,0.1894,2.989238369464874,2.681869405508041,0.3073689602315426,0.15810546875,1.0499788913875818e-05,0.186,2.9713926911354065,2.6468458771705627,0.32454680651426315,0.06253367476165295,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,4,0.0,0.9510204081632653,0.1963,2.959444433450699,2.6514545917510985,0.30798983238637445,0.16875,1.0499788913875818e-05,0.217,2.885758936405182,2.5695233941078186,0.31623556464910507,0.1392443422228098,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,5,0.0,0.9346938775510204,0.2064,2.915808820724487,2.6018691778182985,0.3139396496117115,0.1462890625,1.0499788913875818e-05,0.207,2.914693534374237,2.569849908351898,0.34484365582466125,0.05559671297669411,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,6,0.0,0.9183673469387755,0.2005,2.906101053953171,2.6143784165382384,0.29172264486551286,0.19599609375,1.0499788913875818e-05,0.207,2.9256726503372192,2.6015637516975403,0.3241089731454849,0.07553205825388432,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,7,0.0,0.9020408163265305,0.2013,2.920334219932556,2.619915169477463,0.3004190679639578,0.17333984375,1.0499788913875818e-05,0.192,2.910494387149811,2.654192626476288,0.25630179047584534,0.3117591589689255,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,8,0.0,0.8857142857142857,0.211,2.8764333009719847,2.5864556610584257,0.28997764382511376,0.21357421875,1.0499788913875818e-05,0.193,2.9599857330322266,2.6161804795265198,0.343805231153965,0.030307112261652946,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,9,0.0,0.8693877551020408,0.207,2.898648273944855,2.6013552129268644,0.29729305356740954,0.1828125,1.0499788913875818e-05,0.197,2.9267889261245728,2.596762537956238,0.33002643287181854,0.05785290990024805,1.0499788913875818e-05
neural_baseline_lambda_s_0,0,10,0.0,0.8530612244897959,0.2042,2.8750157237052916,2.5785551726818086,0.2964605396613479,0.193359375,1.0499788913875818e-05,0.18,2.775616228580475,2.6714417934417725,0.10417444258928299,0.7380792051553726,1.0499788913875818e-05
