run_name,seed,cost_budget,accuracy,mean_realized_cost,mean_queries,mean_sensitive_queries,cost_exhaustion_rate
baseline,0,4,0.16,3.5149091577529905,3.0,0.0,1.0
baseline,0,8,0.3975,7.524807690382004,6.705,0.0175,1.0
baseline,0,12,0.52,11.373617829680443,10.21,0.0725,1.0
baseline,0,16,0.555,15.576604825854302,14.0,0.0,1.0
baseline,0,20,0.5775,19.622527648210525,17.5825,0.02,1.0
uncertainty_cost,0,4,0.18,3.360458279848099,3.0,0.0,1.0
uncertainty_cost,0,8,0.4325,7.558731309771538,7.0,0.0,1.0
uncertainty_cost,0,12,0.55,11.770724725723266,11.0,0.0,1.0
uncertainty_cost,0,16,0.5525,15.687054026126862,14.7925,0.005,1.0
uncertainty_cost,0,20,0.56,19.439690947830677,18.43,0.0825,1.0
baseline,1,4,0.155,3.5859344825148582,3.0,0.0,1.0
baseline,1,8,0.39,7.614823000729084,6.725,0.0,1.0
baseline,1,12,0.51,11.312405492365361,10.065,0.0,1.0
baseline,1,16,0.5725,15.670701140463352,14.0,0.0,1.0
baseline,1,20,0.5675,19.451362584233284,17.4325,0.04,1.0
uncertainty_cost,1,4,0.1625,3.358295177221298,3.0,0.0,1.0
uncertainty_cost,1,8,0.4225,7.563756227195263,7.0,0.0,1.0
uncertainty_cost,1,12,0.5325,11.746371423602104,11.0,0.0,1.0
uncertainty_cost,1,16,0.545,15.686862523555755,14.815,0.0225,1.0
uncertainty_cost,1,20,0.5525,19.443969015479087,18.45,0.0275,1.0
baseline,2,4,0.1725,3.368684618473053,3.0,0.0,1.0
baseline,2,8,0.4375,7.738594497144223,7.0,0.0,1.0
baseline,2,12,0.5,11.387036890983582,10.2375,0.0,1.0
baseline,2,16,0.5575,15.636787153184414,14.0,0.0,1.0
baseline,2,20,0.5875,19.43551115334034,17.4025,0.0425,1.0
uncertainty_cost,2,4,0.18,3.3497934782505037,3.0,0.0,1.0
uncertainty_cost,2,8,0.395,7.548243102133274,7.0,0.0,1.0
uncertainty_cost,2,12,0.5175,11.726914396882057,11.0,0.0,1.0
uncertainty_cost,2,16,0.5425,15.686300795376301,14.825,0.0,1.0
uncertainty_cost,2,20,0.5625,19.38943572103977,18.3975,0.0,1.0
baseline,3,4,0.19,3.3881913989782335,3.0,0.0,1.0
baseline,3,8,0.4125,7.600171345472336,6.845,0.0,1.0
baseline,3,12,0.535,11.605629479587078,10.5275,0.005,1.0
baseline,3,16,0.57,15.649755313396454,14.0,0.0,1.0
baseline,3,20,0.575,19.538986796438692,17.4775,0.0,1.0
uncertainty_cost,3,4,0.165,3.3573909002542495,3.0,0.0,1.0
uncertainty_cost,3,8,0.4375,7.575104974508285,7.0,0.0,1.0
uncertainty_cost,3,12,0.4925,11.75632285118103,11.0,0.0,1.0
uncertainty_cost,3,16,0.5275,15.64524335116148,14.7625,0.02,1.0
uncertainty_cost,3,20,0.5425,19.44119492918253,18.44,0.0075,1.0
baseline,4,4,0.17,3.446771595478058,3.0,0.0,1.0
baseline,4,8,0.4,7.779846313893795,6.97,0.0275,1.0
baseline,4,12,0.52,11.510322613418102,10.365,0.0,1.0
baseline,4,16,0.5475,15.6295748513937,14.0,0.0,1.0
baseline,4,20,0.56,19.44164139509201,17.4275,0.0,1.0
uncertainty_cost,4,4,0.1475,3.3523138996958735,3.0,0.0,1.0
uncertainty_cost,4,8,0.3975,7.566796650290489,7.0,0.0,1.0
uncertainty_cost,4,12,0.53,11.739067186117172,11.0,0.0,1.0
uncertainty_cost,4,16,0.5475,15.696161800920963,14.825,0.02,1.0
uncertainty_cost,4,20,0.54,19.49406396985054,18.4975,0.0075,1.0
