concept,uniform_cost,uncertainty_cost
education_or_academic_work,1.0,1.3407382
advanced_degree_or_training,1.0,1.3400306
university_affiliation,1.0,1.2810426
business_or_client_service,1.0,1.2470409
public_presence_or_recognition,1.0,1.2176057
creative_or_artistic_work,1.0,1.2143312
media_or_publishing_work,1.0,1.2068616
teaching_or_instruction,1.0,1.1870465
management_or_leadership,1.0,1.1791239
organizational_role_or_administration,1.0,1.1631713
health_or_wellness_work,1.0,1.1478732
online_public_presence,1.0,1.123402
literary_writing,1.0,1.1188837
public_speaking_or_events,1.0,1.1166456
clinical_care,1.0,1.1141747
medical_training,1.0,1.1101849
media_interviews_or_features,1.0,1.1077054
classroom_instruction,1.0,1.0941482
visual_art_practice,1.0,1.090184
scientific_or_lab_research,1.0,1.0867997
research_publications,1.0,1.0867758
therapy_or_counseling,1.0,1.0800543
film_or_video_production,1.0,1.0717763
music_composition,1.0,1.0697
live_music_or_recording,1.0,1.0650526
legal_or_regulatory_work,1.0,1.0639731
design_work,1.0,1.0603205
celebrity_or_public_attention,1.0,1.0556744
reporting_or_news_work,1.0,1.0533245
legal_practice,1.0,1.0494689
comedy_or_stage_performance,1.0,1.0494416
fitness_instruction,1.0,1.0489491
surgical_work,1.0,1.0485643
technical_or_engineering_work,1.0,1.0452996
mind_body_practice,1.0,1.0438889
camera_or_photography_work,1.0,1.0424167
nutrition_or_diet_guidance,1.0,1.0401081
building_or_spatial_design,1.0,1.0383486
fashion_or_modeling_work,1.0,1.0379654
nursing_care,1.0,1.0338817
software_development,1.0,1.0331904
legal_support_work,1.0,1.0313562
manual_body_treatment,1.0,1.0312238
religious_ministry,1.0,1.0280201
financial_or_accounting_work,1.0,1.0276983
business_or_management_education,1.0,1.0264851
interior_or_decorative_design,1.0,1.0263832
technical_infrastructure,1.0,1.0187715
dental_or_oral_health,1.0,1.0167402
male_pronouns,1.0,1.0
female_pronouns,1.0,1.0
male_gendered_titles,1.0,1.0
female_gendered_titles,1.0,1.0
spouse_or_partner_mentions,1.0,1.0
parent_role_mentions,1.0,1.0
child_or_family_care_mentions,1.0,1.0
appearance_or_body_presentation,1.0,1.0
gendered_organization_or_award,1.0,1.0
