epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.0,0.0,0.297,3.270508474773831,2.630615148279402,0.6398933505018553,0.6585937506622739,0.0,16.689723915523953,0.0,0.19205729166666666,0.012803819813901404,1.0499788913875818e-05,0.8267429265704576,1.0,hard,0.369,2.797883093357086,2.304430365562439,0.4934527426958084,0.7636045217514038,0.0,16.753578662872314,0.0,0.0,0.0,1.0499788913875818e-05,base,4
2,0.0,0.0,0.0,0.40155555555555555,2.7246576415167914,2.2600257065561085,0.46463192337089115,0.7750868052244186,0.0,16.760602792104084,0.0,0.0,0.0,1.0499788913875818e-05,1.2948236411191627,1.0,hard,0.395,2.8098368644714355,2.336804687976837,0.473032183945179,0.7491244673728943,0.0,16.754043579101562,0.0,0.0,0.0,1.0499788913875818e-05,base,4
3,0.0,0.0,0.0,0.4078888888888889,2.689926736884647,2.2258554961946277,0.46407124069001937,0.7679904517200258,0.0,16.781732082366943,0.0,0.0,0.0,1.0499788913875818e-05,1.2326203314199422,1.0,hard,0.388,2.689907729625702,2.2464608550071716,0.4434468001127243,0.7881196141242981,0.0,16.775784492492676,0.0,0.0,0.0,1.0499788913875818e-05,base,4
4,0.0,0.0,0.0,0.408,2.6340772906939187,2.189568751388126,0.44450855255126953,0.7813368058866925,0.0,16.79880428314209,0.0,0.0,0.0,1.0499788913875818e-05,1.048204791146822,1.0,hard,0.398,2.675868570804596,2.230276942253113,0.44559159129858017,0.7911503165960312,0.0,16.833255290985107,0.0,0.0,0.0,1.0499788913875818e-05,base,4
5,0.0,0.0,0.0,0.4102222222222222,2.6126727594269648,2.1676943401495614,0.44497843003935283,0.7829210079378552,0.0,16.818377388848198,0.0,0.0,0.0,1.0499788913875818e-05,0.9022347790693553,1.0,hard,0.395,2.6612250804901123,2.2191707491874695,0.4420543387532234,0.7850888967514038,0.0,16.84038543701172,0.0,0.0,0.0,1.0499788913875818e-05,base,4
6,0.0,0.0,0.0,0.4182222222222222,2.6134736405478582,2.1718309919039407,0.4416426660286056,0.783224826057752,0.0,16.81577581829495,0.0,0.0,0.0,1.0499788913875818e-05,0.9040278878011223,1.0,hard,0.408,2.6627764105796814,2.2092700600624084,0.45350630581378937,0.775895744562149,0.0,16.83448600769043,0.0,0.0,0.0,1.0499788913875818e-05,base,4
7,0.0,0.0,0.0,0.4265555555555556,2.5865158107545643,2.1464594735039606,0.44005631986591554,0.7860026044978036,0.0,16.808971405029297,0.0,0.0,0.0,1.0499788913875818e-05,1.007664848769006,1.0,hard,0.407,2.6382747292518616,2.1971441507339478,0.4411305859684944,0.7851899266242981,0.0,16.832045078277588,0.0,0.0,0.0,1.0499788913875818e-05,base,4
8,0.0,0.0,0.0,0.43422222222222223,2.5587603780958386,2.117328769630856,0.44143159025245243,0.7814887149466409,0.0,16.81516769197252,0.0,0.0,0.0,1.0499788913875818e-05,0.8187813365786698,1.0,hard,0.413,2.683065354824066,2.2358493208885193,0.4472159743309021,0.7794315665960312,0.0,16.818408012390137,0.0,0.0,0.0,1.0499788913875818e-05,base,4
9,0.0,0.0,0.0,0.437,2.5586275458335876,2.1205815308623843,0.4380460282166799,0.7830512159400516,0.0,16.815661589304607,0.0,0.0,0.0,1.0499788913875818e-05,0.8349896273252347,1.0,hard,0.415,2.620258092880249,2.1805115342140198,0.43974653631448746,0.7853919714689255,0.0,16.845876216888428,0.0,0.0,0.0,1.0499788913875818e-05,base,4
10,0.0,0.0,0.0,0.43366666666666664,2.5625288685162864,2.1229770183563232,0.43955185926622814,0.7847005211644702,0.0,16.843560801612007,0.0,0.0,0.0,1.0499788913875818e-05,0.8448372795101022,1.0,hard,0.407,2.70141339302063,2.251881420612335,0.4495319724082947,0.7741446644067764,0.0,16.84161901473999,0.0,0.0,0.0,1.0499788913875818e-05,base,4
