epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.03,0.0,0.33544444444444443,3.2455877794159784,2.4989977876345315,0.2636745185073879,0.9057291663355298,0.4829154900378651,16.09718343946669,0.0,0.9657118055555556,0.06438079041739304,1.0499788913875818e-05,0.820596255158307,1.0,hard,0.445,2.6903077363967896,2.1008856296539307,0.10473939031362534,0.9670662730932236,0.4846827983856201,16.15609359741211,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,cost,0
2,0.0,0.03,0.0,0.4552222222222222,2.6656417316860623,2.074449403418435,0.10621675952441162,0.9680121524466409,0.4849756004081832,16.165853606330025,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,1.5081593023949407,1.0,hard,0.486,2.6421005725860596,2.0559244751930237,0.10108759440481663,0.9680428355932236,0.4850885197520256,16.169617652893066,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,cost,0
3,0.0,0.03,0.0,0.4577777777777778,2.6307119263543024,2.045761376619339,0.10047343694087532,0.969748263557752,0.48447712593608433,16.149237844679092,0.0,1.0091145833333333,0.0672743088669247,1.0499788913875818e-05,1.49985385409026,1.0,hard,0.476,2.6248634457588196,2.03301465511322,0.10794581100344658,0.9639345407485962,0.4839029163122177,16.13009738922119,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,cost,0
4,0.0,0.03,0.0,0.4767777777777778,2.5857239498032465,2.0002387960751853,0.10110234355347024,0.968728298942248,0.48438281648688847,16.146094216240776,0.0,1.070768227179845,0.07138455203837818,1.0499788913875818e-05,1.3151304893092148,1.0,hard,0.489,2.578583300113678,1.9965765178203583,0.09860236942768097,0.9678407907485962,0.48340442031621933,16.113481044769287,0.0,1.1740301847457886,0.07826868072152138,1.0499788913875818e-05,cost,0
5,0.0,0.03,0.0,0.48644444444444446,2.5598042805989585,1.9774930907620325,0.09776164146347179,0.9684678829378552,0.4845495687590705,16.151652654012043,0.0,1.0249565972222223,0.06833044356769985,1.0499788913875818e-05,1.2135247270667202,1.0,hard,0.501,2.555825710296631,1.9735688865184784,0.0984824113547802,0.9679418057203293,0.48377443850040436,16.12581491470337,0.0,1.0,0.06666667014360428,1.0499788913875818e-05,cost,0
6,0.0,0.03,0.0,0.49533333333333335,2.545333875550164,1.967111865679423,0.09442404916303025,0.9690321187178293,0.48379796412256026,16.126599258846706,0.0,1.1421223945087857,0.07614149732722177,1.0499788913875818e-05,1.2100221133150626,1.0,hard,0.501,2.5675098299980164,1.9912062585353851,0.09381051361560822,0.9679418057203293,0.4824930652976036,16.083102703094482,0.0,1.06458780169487,0.07097252458333969,1.0499788913875818e-05,cost,0
7,0.0,0.03,0.0,0.49844444444444447,2.531341804398431,1.9556749264399211,0.09231284736759132,0.9701822913355298,0.4833540577027533,16.111802260080974,0.0,1.1753472189108531,0.07835648539993498,1.0499788913875818e-05,1.3112941421309694,1.0,hard,0.504,2.5459983944892883,1.9609635174274445,0.10149547830224037,0.9659886807203293,0.4835393950343132,16.117980480194092,0.0,1.195346176624298,0.07968974858522415,1.0499788913875818e-05,cost,0
8,0.0,0.03,0.0,0.5012222222222222,2.515408886803521,1.9422295457786984,0.08906085406326586,0.9725477430555556,0.4841184864441554,16.137283325195312,0.0,1.1520399318801031,0.07680266681644651,1.0499788913875818e-05,1.1319833124645002,1.0,hard,0.505,2.56150084733963,1.981096088886261,0.09521750546991825,0.9699959605932236,0.48518725484609604,16.172908782958984,0.0,1.2341392636299133,0.08227595500648022,1.0499788913875818e-05,cost,0
9,0.0,0.03,0.0,0.5044444444444445,2.514410846763187,1.9373109638690948,0.0938101892049114,0.9708116319444444,0.48328972111145657,16.109657658471,0.0,1.2567274305555556,0.08378183282911777,1.0499788913875818e-05,1.1258976184245613,1.0,hard,0.516,2.5328662991523743,1.9517311453819275,0.0983058549463749,0.9699959605932236,0.4828293025493622,16.09431028366089,0.0,1.3058661222457886,0.08705774694681168,1.0499788913875818e-05,cost,0
10,0.0,0.03,0.0,0.5032222222222222,2.5057990550994873,1.9340837134255304,0.0887716868892312,0.9718532992733849,0.4829436731007364,16.098122755686443,0.0,1.4179470505979326,0.09452980818847816,1.0499788913875818e-05,1.0418206291829444,1.0,hard,0.513,2.540199339389801,1.9551320672035217,0.10175605490803719,0.9699959605932236,0.4833112210035324,16.110374450683594,0.0,1.3015894293785095,0.08677263371646404,1.0499788913875818e-05,cost,0
11,0.0,0.03,0.0,0.5028888888888889,2.5025130444102817,1.9295634296205308,0.08996164985001087,0.9696831603844961,0.4829879825313886,16.099599732293022,0.0,1.4336588548289404,0.09557726172109444,1.0499788913875818e-05,1.0995817670579224,1.0,hard,0.492,2.531029462814331,1.9493350386619568,0.09857526607811451,0.9699959605932236,0.48311910778284073,16.103970527648926,0.0,1.46080282330513,0.09738685935735703,1.0499788913875818e-05,cost,0
12,0.0,0.03,0.0,0.5065555555555555,2.4962742924690247,1.9247151017189026,0.08956366529067357,0.9711371527777778,0.4819955031077067,16.06651719411214,0.0,1.6223741306198969,0.10815828086601363,1.0499788913875818e-05,1.0171944839207248,1.0,hard,0.515,2.5487693548202515,1.9634290933609009,0.10296241752803326,0.9699959605932236,0.48237793892621994,16.079265117645264,0.0,1.7474744021892548,0.11649829894304276,1.0499788913875818e-05,cost,0
13,0.0,0.03,0.0,0.5052222222222222,2.4857762191030712,1.9127751621935103,0.09072598214778635,0.9722222222222222,0.48227506627639133,16.075835969712998,0.0,1.580251736773385,0.10535012185573578,1.0499788913875818e-05,1.0194562963701577,1.0,hard,0.51,2.559248208999634,1.9762356579303741,0.10056682676076889,0.9699959605932236,0.48244576156139374,16.081525802612305,0.0,1.7740436494350433,0.11826958321034908,1.0499788913875818e-05,cost,0
14,0.0,0.03,0.0,0.5076666666666667,2.4861824181344776,1.9165500435564253,0.08824991248548031,0.970724826057752,0.48138245277934605,16.046082125769722,0.0,1.8967881931198969,0.12645255277554193,1.0499788913875818e-05,0.9812124364673056,1.0,hard,0.521,2.5190215706825256,1.9374607503414154,0.10033734329044819,0.9699959605932236,0.4812234491109848,16.04078197479248,0.0,1.9473329484462738,0.12982220202684402,1.0499788913875818e-05,cost,0
15,0.0,0.03,0.0,0.5045555555555555,2.4928388794263205,1.9238769544495478,0.08779712740538849,0.9713107645511627,0.4811647923456298,16.038826836480034,0.0,1.795941839615504,0.11972946176926295,1.0499788913875818e-05,1.043308059904828,1.0,hard,0.514,2.533688962459564,1.9484648704528809,0.10151248052716255,0.9679418057203293,0.4837116003036499,16.123720169067383,0.0,1.5739830136299133,0.10493220575153828,1.0499788913875818e-05,cost,0
16,0.0,0.03,0.0,0.5111111111111111,2.486738165219625,1.9151898390716977,0.08985033144967423,0.9698133683866925,0.48169800059662926,16.056600279278225,0.0,1.7969401048289404,0.11979601366652383,1.0499788913875818e-05,1.047223551764748,1.0,hard,0.528,2.525172770023346,1.9420515596866608,0.09926480986177921,0.9699959605932236,0.4838564097881317,16.128547191619873,0.0,1.745016187429428,0.11633441783487797,1.0499788913875818e-05,cost,0
17,0.0,0.03,0.0,0.5182222222222223,2.478835894001855,1.9118491510550182,0.08531264510626595,0.9722873270511627,0.48167411237955093,16.05580409367879,0.0,1.7024522556198969,0.11349682385722797,1.0499788913875818e-05,0.9060928859366363,1.0,hard,0.53,2.5081441402435303,1.925590068101883,0.10164059139788151,0.9699959605932236,0.48091351240873337,16.03045082092285,0.0,1.8240840435028076,0.12160560861229897,1.0499788913875818e-05,cost,0
18,0.0,0.03,0.0,0.5235555555555556,2.464251697063446,1.8958718876043956,0.08714607016493876,0.9713541666666666,0.4812337135275205,16.041124131944443,0.0,1.7584418422645993,0.11722946166992188,1.0499788913875818e-05,0.9394740751934781,1.0,hard,0.53,2.519645094871521,1.9345668256282806,0.10432705841958523,0.9699959605932236,0.48075123131275177,16.025041580200195,0.0,1.900996744632721,0.12673312425613403,1.0499788913875818e-05,cost,0
19,0.0,0.03,0.0,0.5245555555555556,2.456637057993147,1.8877090447478824,0.08790316184361775,0.9719184024466409,0.4810248331891166,16.034161408742268,0.0,1.7345269090599484,0.11563513262404336,1.0499788913875818e-05,1.055664430948026,1.0,hard,0.527,2.5225269198417664,1.9402928948402405,0.1012801080942154,0.9699959605932236,0.4809538349509239,16.031795024871826,0.0,1.8878973722457886,0.1258598305284977,1.0499788913875818e-05,cost,0
20,0.0,0.03,0.0,0.5253333333333333,2.4567076894972057,1.890546914603975,0.08504458682404624,0.9713107645511627,0.4811161872413423,16.037206596798367,0.0,1.7102213535043929,0.11401476338505745,1.0499788913875818e-05,1.074291729466899,1.0,hard,0.534,2.5178950428962708,1.9341385066509247,0.1013753991574049,0.9698949307203293,0.48238111287355423,16.079370498657227,0.0,1.532832682132721,0.1021888516843319,1.0499788913875818e-05,cost,0
21,0.0,0.03,0.0,0.5267777777777778,2.450580418109894,1.8792812426884968,0.08990695637961228,0.9700303822755814,0.4813922262854046,16.04640796449449,0.0,1.6977430548932817,0.11318287584516737,1.0499788913875818e-05,0.8507969990896527,1.0,hard,0.533,2.5241832733154297,1.939227283000946,0.10318674333393574,0.9699959605932236,0.4817691892385483,16.05897331237793,0.0,1.9439992308616638,0.12959995493292809,1.0499788913875818e-05,cost,0
22,0.0,0.03,0.0,0.5254444444444445,2.4434629612498813,1.8771310084395938,0.08534149401303795,0.9723958339956071,0.4809904628329807,16.033015807469685,0.0,1.9059678812821705,0.12706453104813895,1.0499788913875818e-05,0.8553223433910817,1.0,hard,0.536,2.505351722240448,1.9211391508579254,0.10322186350822449,0.9690193980932236,0.48099081963300705,16.03302764892578,0.0,1.893756777048111,0.1262504644691944,1.0499788913875818e-05,cost,0
23,0.0,0.03,0.0,0.5296666666666666,2.446061352888743,1.8792642421192594,0.0858262484996683,0.9718967013888888,0.4809708611832725,16.03236238161723,0.0,1.8504774272441864,0.12336516897711489,1.0499788913875818e-05,0.954318015571011,1.0,hard,0.527,2.5198320150375366,1.9319841265678406,0.10736123844981194,0.9699959605932236,0.48048659414052963,16.016220092773438,0.0,1.7996363043785095,0.11997576057910919,1.0499788913875818e-05,cost,0
24,0.0,0.03,0.0,0.5278888888888889,2.4567108154296875,1.8870908353063796,0.08900506059742636,0.9704427089956071,0.48061491880151963,16.020497666464912,0.0,1.872786455684238,0.12485243835382992,1.0499788913875818e-05,0.9478225821625933,1.0,hard,0.54,2.495784103870392,1.9147212207317352,0.10054280236363411,0.9699959605932236,0.4805201143026352,16.017337322235107,0.0,1.9629579782485962,0.13086387515068054,1.0499788913875818e-05,cost,0
25,0.0,0.03,0.0,0.5307777777777778,2.448592404524485,1.882351752784517,0.08570892808751927,0.9722873270511627,0.4805317380362087,16.017725043826633,0.0,1.9290147556198969,0.12860099039971828,1.0499788913875818e-05,0.958822931887375,1.0,hard,0.523,2.5130399465560913,1.9274117946624756,0.10450856201350689,0.9679418057203293,0.4811196103692055,16.037320613861084,0.0,1.9235587418079376,0.1282372586429119,1.0499788913875818e-05,cost,0
26,0.0,0.03,0.0,0.5294444444444445,2.4312838978237576,1.8674002952045865,0.08297681301418278,0.9733072916666666,0.48090680357482696,16.030227157804703,0.0,1.935177955362532,0.12901187067230543,1.0499788913875818e-05,0.9154403669817839,1.0,hard,0.531,2.506302058696747,1.9194740951061249,0.10591927915811539,0.9699959605932236,0.48090874403715134,16.03029203414917,0.0,1.878805249929428,0.1252536866813898,1.0499788913875818e-05,cost,0
