dataset,run_name,seed,horizon,lambda_s,lambda_c,accuracy,mean_cumulative_cost,sensitive_query_rate,macro_f1,probe_leakage_bits,probe_test_cross_entropy_bits,probe_conditional_entropy_bits,probe_selected_c,probe_test_accuracy
Bias in Bios,base,0,15,0.0,0.0,0.5305,16.62921905517578,0.06666667014360428,0.5223059038389087,0.48369550296656627,0.16833144983588233,0.6520269528024486,1.0,0.9625
Bias in Bios,leak,0,15,0.4,0.0,0.4675,16.544694900512695,0.0,0.4633645877645945,0.011030193717812997,0.6409967590846356,0.6520269528024486,10.0,0.778
Bias in Bios,cost,0,15,0.0,0.03,0.5385,16.031469345092773,0.1307000070810318,0.5249997738339772,0.4833080706205024,0.1687188821819462,0.6520269528024486,1.0,0.9635
Bias in Bios,joint,0,15,0.4,0.03,0.49,16.050670623779297,0.030700000002980232,0.47577154974856983,0.009356594863143441,0.6426703579393052,0.6520269528024486,10.0,0.775
Bias in Bios,base,1,15,0.0,0.0,0.466,16.536710739135742,0.15426665544509888,0.46662186129553046,0.48952982088297603,0.1624971319194726,0.6520269528024486,1.0,0.9715
Bias in Bios,leak,1,15,0.4,0.0,0.448,16.476253509521484,0.03603333234786987,0.44997198659216936,0.016745491601177442,0.6352814612012712,0.6520269528024486,0.1,0.777
Bias in Bios,cost,1,15,0.0,0.03,0.4035,15.735133171081543,0.12210000306367874,0.37592086419063614,0.48933357251427917,0.16269338028816943,0.6520269528024486,1.0,0.9715
Bias in Bios,joint,1,15,0.4,0.03,0.3815,15.840867042541504,0.13296666741371155,0.3562864462637373,0.01756214199453099,0.6344648108079176,0.6520269528024486,10.0,0.7805
Bias in Bios,base,2,15,0.0,0.0,0.4695,16.65984344482422,0.10156666487455368,0.4696651232965081,0.5539069797505617,0.09811997305188687,0.6520269528024486,10.0,0.9845
Bias in Bios,leak,2,15,0.4,0.0,0.4435,16.66257667541504,0.04853333160281181,0.45071678680907434,0.01643507198476979,0.6355918808176788,0.6520269528024486,10.0,0.785
Bias in Bios,cost,2,15,0.0,0.03,0.474,15.845699310302734,0.15033334493637085,0.47058805304907836,0.5527114721142103,0.09931548068823827,0.6520269528024486,10.0,0.984
Bias in Bios,joint,2,15,0.4,0.03,0.4155,15.87920093536377,0.07046666741371155,0.40566559269442143,0.00909572287292737,0.6429312299295212,0.6520269528024486,10.0,0.7735
Bias in Bios,base,3,15,0.0,0.0,0.482,16.398643493652344,0.09350000321865082,0.4730860256241075,0.5578550314672499,0.09417192133519867,0.6520269528024486,1.0,0.985
Bias in Bios,leak,3,15,0.4,0.0,0.3345,16.286706924438477,0.04600000008940697,0.30744991928553567,0.0027358930606673493,0.6492910597417813,0.6520269528024486,10.0,0.7625
Bias in Bios,cost,3,15,0.0,0.03,0.4405,15.7510347366333,0.11273333430290222,0.427388402108024,0.5533129496651876,0.09871400313726102,0.6520269528024486,1.0,0.985
Bias in Bios,joint,3,15,0.4,0.03,0.3445,15.715265274047852,0.06666667014360428,0.3401523518673454,0.000568186081392752,0.6514587667210558,0.6520269528024486,10.0,0.7645
Bias in Bios,base,4,15,0.0,0.0,0.4995,16.777894973754883,0.06666667014360428,0.5000291627505608,0.49147560555354314,0.16055134724890546,0.6520269528024486,1.0,0.9735
Bias in Bios,leak,4,15,0.4,0.0,0.4245,16.716753005981445,0.012066666036844254,0.4208809012720377,0.01872674664829277,0.6333002061541558,0.6520269528024486,0.1,0.786
Bias in Bios,cost,4,15,0.0,0.03,0.453,15.8386812210083,0.06663332879543304,0.4393016317876438,0.009102865377461189,0.6429240874249874,0.6520269528024486,1.0,0.774
Bias in Bios,joint,4,15,0.4,0.03,0.442,15.845105171203613,0.06666667014360428,0.4209918885723553,0.006543412899041812,0.6454835399034068,0.6520269528024486,1.0,0.773
