epoch,lambda_s,lambda_c,lambda_q,train_acc,train_loss,train_task,train_sens,train_sens_acc,train_cost,train_exp_cost,train_set,train_designated_queries,train_sens_q_rate,train_q_entropy,train_actor_grad_norm,actor_eps,sensitive_target_mode,test_acc,test_loss,test_task,test_sens,test_sens_acc,test_cost,test_exp_cost,test_set,test_designated_queries,test_sens_q_rate,test_q_entropy,run_name,seed
1,0.0,0.2,0.0,0.265,6.06537828180525,2.7126525309350757,0.21404995231164825,0.9363715284400516,3.1386757956610785,15.693378739886814,0.0,1.463758687178294,0.09758391769395934,1.0499788913875818e-05,0.8037018370426571,1.0,hard,0.363,5.586331844329834,2.340756595134735,0.11061767674982548,0.9670662730932236,3.1349575519561768,15.674787282943726,0.0,1.9999999701976776,0.13333333656191826,1.0499788913875818e-05,screen_c_0p2,0
2,0.0,0.2,0.0,0.36177777777777775,5.577038288116455,2.340365515814887,0.10810806622935666,0.9675781246688631,3.128564715385437,15.64282332526313,0.0,1.9479166666666667,0.12986111785802576,1.0499788913875818e-05,1.396751179495671,1.0,hard,0.369,5.585805654525757,2.3614009618759155,0.0976826660335064,0.9680428355932236,3.1267220973968506,15.633610486984253,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
3,0.0,0.2,0.0,0.3691111111111111,5.532480173640781,2.306471480263604,0.09876433646099435,0.9692057288355298,3.1272443665398493,15.636221567789713,0.0,1.9899088508552976,0.13266059756278992,1.0499788913875818e-05,1.5636461117343667,1.0,hard,0.369,5.522254705429077,2.2926318049430847,0.10279854387044907,0.9690193980932236,3.1268244981765747,15.634122133255005,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
4,0.0,0.2,0.0,0.375,5.511560082435608,2.285259571340349,0.10025417701237732,0.9684027781089147,3.1260463198026023,15.63023132748074,0.0,1.9998914930555556,0.13332610660129124,1.0499788913875818e-05,1.4173489512306534,1.0,hard,0.385,5.496599078178406,2.274328291416168,0.09649483673274517,0.9648100733757019,3.1257760524749756,15.628880023956299,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
5,0.0,0.2,0.0,0.37755555555555553,5.492530359162225,2.266607688532935,0.10061408258560631,0.9685763898822997,3.1253086593416004,15.626543098025852,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,1.1018766715747512,1.0,hard,0.377,5.490442514419556,2.268115997314453,0.09714612364768982,0.9690193980932236,3.125180244445801,15.625900983810425,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
6,0.0,0.2,0.0,0.37577777777777777,5.493975679079692,2.2715377277798123,0.09750082116160128,0.9689236117733849,3.1249371435907154,15.624685366948446,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,1.2906147991404093,1.0,hard,0.374,5.5041892528533936,2.2780004143714905,0.10046063922345638,0.9699959605932236,3.125728189945221,15.62864089012146,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
7,0.0,0.2,0.0,0.36866666666666664,5.475516438484192,2.255353785223431,0.09510221942845318,0.9709852437178293,3.1250604854689703,15.625302182303535,0.0,1.9999999966886308,0.1333333398732874,1.0499788913875818e-05,1.2961745169886854,1.0,hard,0.38,5.495357155799866,2.2710999250411987,0.09977965988218784,0.9699959605932236,3.1244776248931885,15.622388124465942,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
8,0.0,0.2,0.0,0.3731111111111111,5.470997320281135,2.256200989087423,0.09004390958903565,0.9716796875,3.124752402305603,15.623761812845865,0.0,1.9999999966886308,0.1333333398732874,1.0499788913875818e-05,1.2574717283843913,1.0,hard,0.388,5.464746117591858,2.2417207956314087,0.09865409135818481,0.9699959605932236,3.1243712306022644,15.621856212615967,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
9,0.0,0.2,0.0,0.37444444444444447,5.470336039861043,2.2504562404420643,0.09549581352621317,0.9713541666666666,3.1243839859962463,15.621919737921822,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,1.04023757738307,1.0,hard,0.388,5.495248913764954,2.2721863985061646,0.09831476397812366,0.9699959605932236,3.1247477531433105,15.623738527297974,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
10,0.0,0.2,0.0,0.3741111111111111,5.459779050615099,2.2442641854286194,0.09139349725511339,0.9714192714956071,3.1241213414404125,15.620606581370035,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,1.1170118473722443,1.0,hard,0.38,5.451319336891174,2.229888379573822,0.09706068225204945,0.9699959605932236,3.1243700981140137,15.621850490570068,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
11,0.0,0.2,0.0,0.37533333333333335,5.459947016504076,2.2441296842363148,0.09178583003166649,0.9703342020511627,3.1240315039952598,15.62015732129415,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,0.8684626035262935,1.0,hard,0.39,5.476948380470276,2.25805127620697,0.09502611681818962,0.9699959605932236,3.123870849609375,15.619354248046875,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
12,0.0,0.2,0.0,0.37733333333333335,5.461733592881097,2.247358010874854,0.09094753882123364,0.9722222222222222,3.1234280135896473,15.617139842775133,0.0,2.03634982307752,0.13575666149457297,1.0499788913875818e-05,0.9679925352522534,1.0,hard,0.385,5.4711843729019165,2.249947428703308,0.0971625093370676,0.9699959605932236,3.124074399471283,15.62037205696106,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
13,0.0,0.2,0.0,0.378,5.455007884237501,2.2398027777671814,0.09162189630377623,0.9711371527777778,3.123583263821072,15.617916054195828,0.0,2.0330512126286826,0.13553675595257017,1.0499788913875818e-05,0.9376538874736676,1.0,hard,0.38,5.457148909568787,2.235054671764374,0.09897129982709885,0.9699959605932236,3.123123049736023,15.615615129470825,0.0,2.0785627365112305,0.1385708600282669,1.0499788913875818e-05,screen_c_0p2,0
14,0.0,0.2,0.0,0.37622222222222224,5.456005387836033,2.2422962056265936,0.09018597886380222,0.9710503468910853,3.1235232088300915,15.617615911695692,0.0,2.0474609401490955,0.1364974044263363,1.0499788913875818e-05,0.885253337291134,1.0,hard,0.382,5.460391402244568,2.2380964756011963,0.09866744093596935,0.9699959605932236,3.123627543449402,15.61813759803772,0.0,2.023639500141144,0.13490930199623108,1.0499788913875818e-05,screen_c_0p2,0
15,0.0,0.2,0.0,0.37733333333333335,5.468015140957302,2.25380105442471,0.0909973086996211,0.9698350694444444,3.123216754860348,15.616083489523994,0.0,2.0365668402777777,0.13577112928032875,1.0499788913875818e-05,0.8448719412440874,1.0,hard,0.37,5.466856241226196,2.2457398176193237,0.09708528779447079,0.9658876657485962,3.1240310072898865,15.620154619216919,0.0,2.0,0.13333334028720856,1.0499788913875818e-05,screen_c_0p2,0
16,0.0,0.2,0.0,0.3778888888888889,5.45878525575002,2.2413702540927463,0.0932541982167297,0.9688368058866925,3.124160819583469,15.62080388598972,0.0,2.0317925347222223,0.13545284254683387,1.0499788913875818e-05,1.2943685920909047,1.0,hard,0.378,5.452411651611328,2.229515552520752,0.09900873899459839,0.9699959605932236,3.123887300491333,15.619436264038086,0.0,2.0339102745056152,0.13559402525424957,1.0499788913875818e-05,screen_c_0p2,0
17,0.0,0.2,0.0,0.3791111111111111,5.444834444257948,2.232341388861338,0.08915189777811368,0.9716362853844961,3.123341189490424,15.61670568254259,0.0,2.0453341934416027,0.13635561863581339,1.0499788913875818e-05,0.7375071561109507,1.0,hard,0.367,5.493734121322632,2.2753732800483704,0.09532222710549831,0.9699959605932236,3.1230387091636658,15.615193605422974,0.0,2.0718278288841248,0.13812186568975449,1.0499788913875818e-05,screen_c_0p2,0
18,0.0,0.2,0.0,0.37966666666666665,5.447083539432949,2.2345664501190186,0.08940966799855232,0.9703342020511627,3.12310743994183,15.61553700764974,0.0,2.05503472354677,0.13700232240888807,1.0499788913875818e-05,0.7504671406527955,1.0,hard,0.395,5.44193971157074,2.2165287733078003,0.10251611471176147,0.9699959605932236,3.122894823551178,15.614474058151245,0.0,2.0698747038841248,0.13799165561795235,1.0499788913875818e-05,screen_c_0p2,0
19,0.0,0.2,0.0,0.38455555555555554,5.450807982020908,2.234828531742096,0.09107285893211763,0.9714843746688631,3.124906539916992,15.624532487657335,0.0,2.02923176685969,0.1352821249100897,1.0499788913875818e-05,1.914182822884565,1.0,hard,0.393,5.470392107963562,2.2465450763702393,0.09902155585587025,0.9699959605932236,3.1248252987861633,15.624126434326172,0.0,2.03391033411026,0.13559402897953987,1.0499788913875818e-05,screen_c_0p2,0
20,0.0,0.2,0.0,0.38433333333333336,5.436003314124213,2.222567684120602,0.09007857367396355,0.9719618062178293,3.123357057571411,15.61678507592943,0.0,2.063064237435659,0.1375376238591141,1.0499788913875818e-05,0.7473084924357762,1.0,hard,0.392,5.479384064674377,2.255377769470215,0.10094879008829594,0.9699959605932236,3.123057544231415,15.61528754234314,0.0,2.0876548290252686,0.13917699083685875,1.0499788913875818e-05,screen_c_0p2,0
21,0.0,0.2,0.0,0.37855555555555553,5.454085244072808,2.2324376569853888,0.09877803807871209,0.967751736442248,3.1228695710500083,15.614347696304321,0.0,2.082747393184238,0.13884983253147867,1.0499788913875818e-05,0.8225356124522578,1.0,hard,0.389,5.470371842384338,2.2461162209510803,0.10108843818306923,0.9699959605932236,3.123167097568512,15.615835428237915,0.0,2.0418238043785095,0.13612158969044685,1.0499788913875818e-05,screen_c_0p2,0
22,0.0,0.2,0.0,0.3818888888888889,5.439075059360928,2.2232960528797574,0.09288288859857453,0.9708767367733849,3.1228960818714566,15.614480151070488,0.0,2.064301219251421,0.13762008936868775,1.0499788913875818e-05,0.7370953980733046,1.0,hard,0.395,5.452057361602783,2.227638363838196,0.10157107003033161,0.9699959605932236,3.122847855091095,15.61423921585083,0.0,2.0854997634887695,0.13903332501649857,1.0499788913875818e-05,screen_c_0p2,0
23,0.0,0.2,0.0,0.384,5.435483548376295,2.224074535899692,0.08859139561860098,0.9721137152777778,3.1228176024225025,15.614087873035007,0.0,2.0824218723509045,0.13882813230156898,1.0499788913875818e-05,0.8597990973713523,1.0,hard,0.392,5.4537999629974365,2.2327390909194946,0.09747366979718208,0.9699959605932236,3.1235870122909546,15.617934703826904,0.0,2.119140625,0.1412760503590107,1.0499788913875818e-05,screen_c_0p2,0
24,0.0,0.2,0.0,0.3824444444444444,5.4444659683439465,2.2292577491866217,0.09215044778668219,0.9707682298289405,3.1230577495363026,15.615288469526503,0.0,2.084830734464857,0.13898872294359738,1.0499788913875818e-05,0.8139921969802041,1.0,hard,0.386,5.443563461303711,2.2237977981567383,0.09721914865076542,0.9699959605932236,3.122546672821045,15.612733364105225,0.0,2.1313307881355286,0.14208872616291046,1.0499788913875818e-05,screen_c_0p2,0
25,0.0,0.2,0.0,0.3868888888888889,5.442880988121033,2.2306075824631586,0.08934369362476799,0.9717447923289405,3.1229296591546802,15.614648050732082,0.0,2.0856119791666665,0.13904080705510247,1.0499788913875818e-05,0.7252577236245593,1.0,hard,0.394,5.487118601799011,2.2641539573669434,0.09944799542427063,0.9690193980932236,3.123516619205475,15.617582559585571,0.0,2.0666419863700867,0.13777614012360573,1.0499788913875818e-05,screen_c_0p2,0
