run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_baseline_lambda_s_0,0,0,0.0355,0.0024487825067255296,0.04461248219013214
neural_baseline_lambda_s_0,0,1,0.068,0.01028107724649843,0.08735993504524231
neural_baseline_lambda_s_0,0,2,0.1255,0.04987280253806032,0.15286383032798767
neural_baseline_lambda_s_0,0,3,0.1975,0.10116966447715081,0.22052760422229767
neural_baseline_lambda_s_0,0,4,0.282,0.21087879371976928,0.31212902069091797
neural_baseline_lambda_s_0,0,5,0.331,0.26981984274444815,0.3656960725784302
neural_baseline_lambda_s_0,0,6,0.367,0.30328884190133465,0.4119502007961273
neural_baseline_lambda_s_0,0,7,0.391,0.3422720754235525,0.4255825877189636
neural_baseline_lambda_s_0,0,8,0.404,0.3610636176190849,0.4484727382659912
neural_baseline_lambda_s_0,0,9,0.4105,0.3660281203894324,0.45101800560951233
neural_baseline_lambda_s_0,0,10,0.429,0.392559650633762,0.46396902203559875
neural_baseline_lambda_s_0,0,11,0.432,0.39470504751493046,0.4614807665348053
neural_baseline_lambda_s_0,0,12,0.437,0.4009142953095483,0.4673885405063629
neural_baseline_lambda_s_0,0,13,0.467,0.4417073795794015,0.48173198103904724
neural_baseline_lambda_s_0,0,14,0.4915,0.47392365117961516,0.4902195334434509
neural_baseline_lambda_s_0,0,15,0.5075,0.4952164405158451,0.5068519711494446
neural_baseline_lambda_s_0,0,16,0.5105,0.4987286197446371,0.508864164352417
neural_baseline_lambda_s_0,0,17,0.523,0.5152502360330995,0.5247487425804138
neural_baseline_lambda_s_0,0,18,0.519,0.5096181506111318,0.5260913372039795
neural_baseline_lambda_s_0,0,19,0.5285,0.5236486267730328,0.5261200070381165
neural_baseline_lambda_s_0,0,20,0.527,0.5229999488930056,0.5278120040893555
neural_claq_lambda_s_0_4,0,0,0.036,0.002482073910645339,0.04672889783978462
neural_claq_lambda_s_0_4,0,1,0.067,0.00955735630017816,0.07663238048553467
neural_claq_lambda_s_0_4,0,2,0.1105,0.035701080925814616,0.12898166477680206
neural_claq_lambda_s_0_4,0,3,0.1795,0.10027014794901916,0.20873740315437317
neural_claq_lambda_s_0_4,0,4,0.256,0.17217572934621636,0.29277661442756653
neural_claq_lambda_s_0_4,0,5,0.3215,0.25346379330310825,0.3488525450229645
neural_claq_lambda_s_0_4,0,6,0.3655,0.3096991889403147,0.39320921897888184
neural_claq_lambda_s_0_4,0,7,0.3685,0.30388984829016374,0.4004575312137604
neural_claq_lambda_s_0_4,0,8,0.3695,0.3170209219021528,0.4077460467815399
neural_claq_lambda_s_0_4,0,9,0.3725,0.31645268938093407,0.4146527051925659
neural_claq_lambda_s_0_4,0,10,0.3735,0.3169744182527376,0.41429370641708374
neural_claq_lambda_s_0_4,0,11,0.3995,0.35357646433528617,0.4397399425506592
neural_claq_lambda_s_0_4,0,12,0.4135,0.37859206671608236,0.4494725465774536
neural_claq_lambda_s_0_4,0,13,0.424,0.3945073548005688,0.4491889774799347
neural_claq_lambda_s_0_4,0,14,0.4625,0.44665303660750355,0.45691484212875366
neural_claq_lambda_s_0_4,0,15,0.464,0.4491684079962927,0.45449554920196533
neural_claq_lambda_s_0_4,0,16,0.4645,0.44980809629232754,0.4557815492153168
neural_claq_lambda_s_0_4,0,17,0.4705,0.4513016207108819,0.45528167486190796
neural_claq_lambda_s_0_4,0,18,0.476,0.4662268403716124,0.4680362045764923
neural_claq_lambda_s_0_4,0,19,0.485,0.47833684740244176,0.46653100848197937
neural_claq_lambda_s_0_4,0,20,0.481,0.4746349091212653,0.4650174081325531
neural_baseline_lambda_s_0,1,0,0.0355,0.0024487825067255296,0.04539940506219864
neural_baseline_lambda_s_0,1,1,0.0625,0.009298588431778875,0.09283428639173508
neural_baseline_lambda_s_0,1,2,0.1195,0.06045943307710446,0.16172407567501068
neural_baseline_lambda_s_0,1,3,0.186,0.1097742657747556,0.2192389816045761
neural_baseline_lambda_s_0,1,4,0.254,0.18878072762623205,0.2920319736003876
neural_baseline_lambda_s_0,1,5,0.2895,0.22471310242495038,0.32673636078834534
neural_baseline_lambda_s_0,1,6,0.346,0.3026752269565491,0.3678489029407501
neural_baseline_lambda_s_0,1,7,0.3875,0.36129340569778307,0.39796122908592224
neural_baseline_lambda_s_0,1,8,0.4095,0.3726620854376406,0.42564529180526733
neural_baseline_lambda_s_0,1,9,0.426,0.38852850577966136,0.4412352442741394
neural_baseline_lambda_s_0,1,10,0.4295,0.3912581028775031,0.45065441727638245
neural_baseline_lambda_s_0,1,11,0.448,0.4147051598292157,0.45855098962783813
neural_baseline_lambda_s_0,1,12,0.45,0.41589165237742887,0.45119038224220276
neural_baseline_lambda_s_0,1,13,0.469,0.4422983998407327,0.4562176465988159
neural_baseline_lambda_s_0,1,14,0.4735,0.4531405031294377,0.45800045132637024
neural_baseline_lambda_s_0,1,15,0.485,0.4666115748409198,0.4640424847602844
neural_baseline_lambda_s_0,1,16,0.488,0.4669097636579546,0.46115100383758545
neural_baseline_lambda_s_0,1,17,0.4845,0.45730840598614214,0.4597184658050537
neural_baseline_lambda_s_0,1,18,0.49,0.4679248250756006,0.470770925283432
neural_baseline_lambda_s_0,1,19,0.4845,0.4698214463680265,0.47274866700172424
neural_baseline_lambda_s_0,1,20,0.5235,0.507283795249952,0.4997013509273529
neural_claq_lambda_s_0_4,1,0,0.036,0.002482073910645339,0.051365967839956284
neural_claq_lambda_s_0_4,1,1,0.065,0.009714240052574546,0.0805099755525589
neural_claq_lambda_s_0_4,1,2,0.1185,0.03337436970269295,0.1455351561307907
neural_claq_lambda_s_0_4,1,3,0.1995,0.10780737066039923,0.22934038937091827
neural_claq_lambda_s_0_4,1,4,0.2665,0.19771935350759476,0.2994794249534607
neural_claq_lambda_s_0_4,1,5,0.305,0.2357458864223938,0.33910125494003296
neural_claq_lambda_s_0_4,1,6,0.318,0.25342697439798917,0.33811333775520325
neural_claq_lambda_s_0_4,1,7,0.358,0.3016776121716917,0.3752427399158478
neural_claq_lambda_s_0_4,1,8,0.391,0.3470865684636251,0.41702592372894287
neural_claq_lambda_s_0_4,1,9,0.398,0.3531122706038471,0.4112868010997772
neural_claq_lambda_s_0_4,1,10,0.404,0.36422885808234995,0.40103697776794434
neural_claq_lambda_s_0_4,1,11,0.427,0.39388130486158435,0.4259415566921234
neural_claq_lambda_s_0_4,1,12,0.4465,0.41687116763286863,0.431733101606369
neural_claq_lambda_s_0_4,1,13,0.466,0.4416396238611861,0.4478134512901306
neural_claq_lambda_s_0_4,1,14,0.4675,0.449282582202796,0.442818284034729
neural_claq_lambda_s_0_4,1,15,0.4725,0.4517988125726961,0.4424339830875397
neural_claq_lambda_s_0_4,1,16,0.475,0.45326936384509026,0.4494900107383728
neural_claq_lambda_s_0_4,1,17,0.492,0.4714567948231498,0.451417475938797
neural_claq_lambda_s_0_4,1,18,0.5215,0.5175834038843242,0.46954596042633057
neural_claq_lambda_s_0_4,1,19,0.5265,0.5221055704751182,0.4743184447288513
neural_claq_lambda_s_0_4,1,20,0.5335,0.5405814045323519,0.4736899435520172
neural_baseline_lambda_s_0,2,0,0.0355,0.0024487825067255296,0.04871654137969017
neural_baseline_lambda_s_0,2,1,0.0635,0.009395836316637377,0.08402226120233536
neural_baseline_lambda_s_0,2,2,0.1185,0.03320845493765486,0.1429680436849594
neural_baseline_lambda_s_0,2,3,0.2025,0.11546405033341015,0.22850237786769867
neural_baseline_lambda_s_0,2,4,0.2835,0.19815277362058079,0.3000549376010895
neural_baseline_lambda_s_0,2,5,0.311,0.23641812217374433,0.33269113302230835
neural_baseline_lambda_s_0,2,6,0.362,0.2981341491322147,0.38403022289276123
neural_baseline_lambda_s_0,2,7,0.3835,0.3356606857526199,0.4185220003128052
neural_baseline_lambda_s_0,2,8,0.389,0.3387926874010111,0.4344073534011841
neural_baseline_lambda_s_0,2,9,0.4085,0.3641115703488067,0.4585185945034027
neural_baseline_lambda_s_0,2,10,0.418,0.3805548008922109,0.4665696620941162
neural_baseline_lambda_s_0,2,11,0.434,0.4038510268972023,0.4797806739807129
neural_baseline_lambda_s_0,2,12,0.454,0.419094943003512,0.4960170388221741
neural_baseline_lambda_s_0,2,13,0.4755,0.4434317648337863,0.505399763584137
neural_baseline_lambda_s_0,2,14,0.478,0.44476711554452025,0.5031985640525818
neural_baseline_lambda_s_0,2,15,0.49,0.4760218945688886,0.5087103247642517
neural_baseline_lambda_s_0,2,16,0.4925,0.47808896666674194,0.5182688236236572
neural_baseline_lambda_s_0,2,17,0.492,0.4823344456965142,0.514859139919281
neural_baseline_lambda_s_0,2,18,0.505,0.4982959612850107,0.5296677350997925
neural_baseline_lambda_s_0,2,19,0.5255,0.5292501823395032,0.5384792685508728
neural_baseline_lambda_s_0,2,20,0.544,0.541399613459777,0.5388141870498657
neural_claq_lambda_s_0_4,2,0,0.0355,0.0024487825067255296,0.04807378724217415
neural_claq_lambda_s_0_4,2,1,0.0695,0.010656394817358906,0.08065302670001984
neural_claq_lambda_s_0_4,2,2,0.1185,0.04758015004283788,0.1360427439212799
neural_claq_lambda_s_0_4,2,3,0.1845,0.10665273868548615,0.2074703425168991
