run_name,seed,epoch,lambda_s,actor_eps,train_accuracy,train_loss,train_task_loss,train_sensitive_loss,train_sensitive_query_rate,train_query_entropy,validation_accuracy,validation_loss,validation_task_loss,validation_sensitive_loss,validation_sensitive_query_rate,validation_query_entropy
neural_baseline_lambda_s_0,1,1,0.0,1.0,0.1199,3.6134154856204987,3.0808777093887327,0.5325377777218818,0.0251953125,1.0499788913875818e-05,0.148,3.119687795639038,2.7528560161590576,0.36683178693056107,0.009092133492231369,0.0006874010869069025
neural_baseline_lambda_s_0,1,2,0.0,1.0,0.1774,3.0422078490257265,2.711600959300995,0.3306068953126669,0.12041015625,1.0499788913875818e-05,0.17,3.02563339471817,2.6989492774009705,0.3266840800642967,0.11691810190677643,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,3,0.0,1.0,0.1873,2.978685998916626,2.6586524188518523,0.3200335904955864,0.1486328125,1.0499788913875818e-05,0.197,2.869398772716522,2.756790518760681,0.11260826326906681,0.8107825964689255,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,4,0.0,1.0,0.1908,2.966188985109329,2.6567938387393952,0.3093951489776373,0.18642578125,1.0499788913875818e-05,0.19,2.9346677660942078,2.6043878197669983,0.3302799463272095,0.07758620660752058,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,5,0.0,1.0,0.195,2.9447148859500887,2.635242390632629,0.3094724975526333,0.1431640625,1.0499788913875818e-05,0.202,2.925083041191101,2.6592240929603577,0.2658589296042919,0.27081087976694107,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,6,0.0,1.0,0.1995,2.939340275526047,2.634530109167099,0.3048101782798767,0.16923828125,1.0499788913875818e-05,0.216,2.9266536831855774,2.5827425718307495,0.3439110741019249,0.06910021603107452,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,7,0.0,1.0,0.2088,2.904125326871872,2.60044504404068,0.3036802876740694,0.162890625,1.0499788913875818e-05,0.191,2.94477117061615,2.5973532795906067,0.3474178984761238,0.04700969811528921,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,8,0.0,1.0,0.2098,2.8895989656448364,2.5775483012199403,0.31205066964030265,0.133203125,1.0499788913875818e-05,0.203,2.9240634441375732,2.6175277829170227,0.30653566867113113,0.16066136956214905,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,9,0.0,1.0,0.2133,2.8598272025585176,2.567646640539169,0.2921805813908577,0.16884765625,1.0499788913875818e-05,0.223,2.7725534439086914,2.635818839073181,0.1367345843464136,0.6360452622175217,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,10,0.0,1.0,0.2116,2.861385703086853,2.5715363025665283,0.2898493867367506,0.1759765625,1.0499788913875818e-05,0.211,2.842695474624634,2.6292648911476135,0.21343059092760086,0.39907731860876083,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,11,0.0,1.0,0.217,2.855392241477966,2.5687137961387636,0.2866784531623125,0.1787109375,1.0499788913875818e-05,0.21,2.9220555424690247,2.5925193428993225,0.32953620702028275,0.08677936345338821,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,12,0.0,1.0,0.2222,2.8379577457904817,2.539709675312042,0.298248059861362,0.140625,1.0499788913875818e-05,0.187,2.948044717311859,2.5867284536361694,0.3613162413239479,0.01592807099223137,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,13,0.0,1.0,0.2189,2.8552033603191376,2.551011872291565,0.3041914880275726,0.1373046875,1.0499788913875818e-05,0.218,2.80111300945282,2.499891221523285,0.3012218251824379,0.1796201504766941,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,14,0.0,1.0,0.2162,2.8433253526687623,2.548528033494949,0.29479732140898707,0.14052734375,1.0499788913875818e-05,0.198,2.874528408050537,2.559974491596222,0.3145539164543152,0.057179417461156845,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,15,0.0,1.0,0.2196,2.8123036563396453,2.523290592432022,0.2890130527317524,0.164453125,1.0499788913875818e-05,0.229,2.8711262345314026,2.551000416278839,0.32012589275836945,0.031182650476694107,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,16,0.0,1.0,0.2263,2.806383657455444,2.5132926225662233,0.2930910397320986,0.147265625,1.0499788913875818e-05,0.239,2.833374857902527,2.511008143424988,0.32236672937870026,0.049366917461156845,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,17,0.0,1.0,0.2269,2.8058303356170655,2.5195215940475464,0.28630874678492546,0.15322265625,1.0499788913875818e-05,0.207,2.8801689743995667,2.5727046132087708,0.3074642941355705,0.12813173606991768,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,18,0.0,1.0,0.2278,2.839138501882553,2.533859074115753,0.30527943968772886,0.13330078125,1.0499788913875818e-05,0.218,2.757448196411133,2.5029043555259705,0.25454389676451683,0.2119814120233059,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,19,0.0,1.0,0.2259,2.8014943659305573,2.5188100039958954,0.28268434181809426,0.171875,1.0499788913875818e-05,0.194,2.843981683254242,2.536909580230713,0.3070720359683037,0.08842941746115685,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,20,0.0,1.0,0.2316,2.802048259973526,2.5130201458930967,0.2890281230211258,0.1458984375,1.0499788913875818e-05,0.217,2.8354780673980713,2.507456362247467,0.32802165299654007,0.00801454740576446,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,21,0.0,1.0,0.2264,2.794589674472809,2.49873828291893,0.2958513978868723,0.1341796875,1.0499788913875818e-05,0.227,2.7875949144363403,2.4978395104408264,0.28975537419319153,0.11358432099223137,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,22,0.0,1.0,0.2322,2.790135979652405,2.490786224603653,0.29934974797070024,0.14130859375,1.0499788913875818e-05,0.224,2.8530434370040894,2.494787275791168,0.35825616866350174,0.02178744599223137,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,23,0.0,1.0,0.2369,2.759045881032944,2.4639279544353485,0.2951179310679436,0.14033203125,1.0499788913875818e-05,0.227,2.847101867198944,2.513448715209961,0.3336530849337578,0.021989493630826473,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,24,0.0,1.0,0.2225,2.7792796790599823,2.4923902690410613,0.2868893928825855,0.12578125,1.0499788913875818e-05,0.235,2.7037418484687805,2.5341289043426514,0.16961299628019333,0.45066675543785095,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,25,0.0,1.0,0.2257,2.7969023644924165,2.499011343717575,0.29789101183414457,0.12431640625,1.0499788913875818e-05,0.252,2.761529564857483,2.456257164478302,0.3052723556756973,0.01788119599223137,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,26,0.0,1.0,0.2399,2.762646162509918,2.470417296886444,0.29222887717187407,0.126953125,1.0499788913875818e-05,0.225,2.7831379771232605,2.498790144920349,0.28434787690639496,0.19985856488347054,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,27,0.0,1.0,0.2307,2.7866648018360136,2.496623921394348,0.29004088751971724,0.13564453125,1.0499788913875818e-05,0.23,2.7803176045417786,2.4720409512519836,0.30827661603689194,0.11641298606991768,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,28,0.0,1.0,0.2348,2.7926328778266907,2.497866928577423,0.2947659581899643,0.1216796875,1.0499788913875818e-05,0.223,2.789364755153656,2.5213485956192017,0.26801615953445435,0.16224407404661179,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,29,0.0,1.0,0.2376,2.7644603490829467,2.478004276752472,0.2864560645073652,0.14794921875,1.0499788913875818e-05,0.215,2.826369881629944,2.5214553475379944,0.30491460114717484,0.07075026910752058,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,30,0.0,1.0,0.2322,2.779337054491043,2.480402797460556,0.2989342723041773,0.13955078125,1.0499788913875818e-05,0.234,2.808870315551758,2.4758443236351013,0.3330259695649147,0.06243265047669411,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,31,0.0,1.0,0.2346,2.772591996192932,2.476890617609024,0.295701365172863,0.1314453125,1.0499788913875818e-05,0.232,2.7674065232276917,2.4609084725379944,0.30649806559085846,0.04290140047669411,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,32,0.0,1.0,0.2416,2.749199461936951,2.45646156668663,0.2927378833293915,0.14052734375,1.0499788913875818e-05,0.235,2.7279365062713623,2.514196276664734,0.21374017000198364,0.28576239198446274,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,33,0.0,1.0,0.2361,2.7602257251739504,2.469786435365677,0.29043930508196353,0.13095703125,1.0499788913875818e-05,0.227,2.7134886384010315,2.5652436017990112,0.1482450496405363,0.543473869562149,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,34,0.0,1.0,0.2331,2.751339519023895,2.4624834597110747,0.2888560675084591,0.1357421875,1.0499788913875818e-05,0.238,2.771184742450714,2.4592060446739197,0.31197867542505264,0.09782462194561958,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,35,0.0,1.0,0.2332,2.7819515645503996,2.4934260964393617,0.28852546475827695,0.15322265625,1.0499788913875818e-05,0.222,2.7473814487457275,2.4786038398742676,0.2687775418162346,0.22144396603107452,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,36,0.0,1.0,0.2392,2.7387609422206878,2.446460062265396,0.2923008892685175,0.1328125,1.0499788913875818e-05,0.232,2.613732874393463,2.4839723706245422,0.12976053170859814,0.5272763967514038,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,37,0.0,1.0,0.2258,2.7633471846580506,2.478100711107254,0.2852464644238353,0.165234375,1.0499788913875818e-05,0.235,2.8216591477394104,2.503947079181671,0.31771207600831985,0.03185614198446274,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,38,0.0,1.0,0.2378,2.7492143511772156,2.4493442296981813,0.29987010806798936,0.12978515625,1.0499788913875818e-05,0.229,2.7425668239593506,2.4794602394104004,0.2631065845489502,0.20827721059322357,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,39,0.0,1.0,0.2369,2.759910398721695,2.4799865782260895,0.27992381490767004,0.15107421875,1.0499788913875818e-05,0.239,2.751783549785614,2.468408465385437,0.2833750620484352,0.13934536650776863,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,40,0.0,1.0,0.2382,2.7452995479106903,2.4529105544090273,0.2923889856785536,0.14609375,7.818991871317848e-05,0.232,2.8151280283927917,2.4837053418159485,0.3314226269721985,0.05482219811528921,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,41,0.0,1.0,0.2366,2.7653716564178468,2.4725766122341155,0.29279505349695684,0.132421875,1.0499788913875818e-05,0.261,2.7345426082611084,2.46768581867218,0.2668567821383476,0.19477370753884315,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,42,0.0,1.0,0.2362,2.7578205943107603,2.4674810409545898,0.29033954851329324,0.1427734375,1.0499788913875818e-05,0.253,2.749824106693268,2.4229244589805603,0.32689962536096573,0.01690463349223137,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,43,0.0,1.0,0.2377,2.7324331998825073,2.4477479159832,0.2846852719783783,0.126953125,1.0499788913875818e-05,0.228,2.7540146708488464,2.453463554382324,0.3005511313676834,0.11708647571504116,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,44,0.0,1.0,0.2335,2.7417554318904878,2.455572026968002,0.2861834026873112,0.1529296875,1.0499788913875818e-05,0.254,2.711552083492279,2.4086192846298218,0.3029327839612961,0.1416352353990078,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,45,0.0,1.0,0.2376,2.7534425377845766,2.463476711511612,0.28996582366526125,0.13984375,1.0499788913875818e-05,0.226,2.710247576236725,2.5189372897148132,0.19131027534604073,0.4229525849223137,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,46,0.0,1.0,0.2396,2.7546307504177094,2.4668381452560424,0.2877926163375378,0.13623046875,1.0499788913875818e-05,0.238,2.6675081849098206,2.4514633417129517,0.2160448171198368,0.3055967167019844,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,47,0.0,1.0,0.2405,2.724483060836792,2.442767494916916,0.28171555772423745,0.145703125,1.0499788913875818e-05,0.226,2.7764397859573364,2.470118224620819,0.3063216358423233,0.1357421875,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,48,0.0,1.0,0.2402,2.736073189973831,2.4408211708068848,0.2952520173043013,0.11640625,1.0499788913875818e-05,0.225,2.731477379798889,2.546829640865326,0.18464773148298264,0.44389817118644714,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,49,0.0,1.0,0.2348,2.7539127230644227,2.456158471107483,0.29775424785912036,0.13955078125,1.0499788913875818e-05,0.245,2.702366888523102,2.4746845364570618,0.22768240794539452,0.3438173457980156,1.0499788913875818e-05
neural_baseline_lambda_s_0,1,50,0.0,1.0,0.2512,2.731350839138031,2.4363360822200777,0.295014775544405,0.133203125,1.0499788913875818e-05,0.243,2.615098714828491,2.5121543407440186,0.10294436477124691,0.5876549035310745,1.0499788913875818e-05
