run_name,seed,confidence_threshold,coverage,mean_questions_when_reached,accuracy_when_reached
neural_baseline_lambda_s_0,0,0.5,0.5855,8.165670367207515,0.6712211784799317
neural_baseline_lambda_s_0,0,0.6,0.484,7.050619834710743,0.7303719008264463
neural_baseline_lambda_s_0,0,0.7,0.436,7.56651376146789,0.7522935779816514
neural_baseline_lambda_s_0,0,0.8,0.3,9.726666666666667,0.8316666666666667
neural_baseline_lambda_s_0,0,0.9,0.141,7.659574468085107,0.8971631205673759
neural_claq_lambda_s_0_4,0,0.5,0.539,7.37569573283859,0.6020408163265306
neural_claq_lambda_s_0_4,0,0.6,0.471,7.7123142250530785,0.6889596602972399
neural_claq_lambda_s_0_4,0,0.7,0.26,9.363461538461538,0.8269230769230769
neural_claq_lambda_s_0_4,0,0.8,0.181,7.295580110497237,0.8232044198895028
neural_claq_lambda_s_0_4,0,0.9,0.089,8.44943820224719,0.8707865168539326
neural_baseline_lambda_s_0,1,0.5,0.5875,8.179574468085107,0.6723404255319149
neural_baseline_lambda_s_0,1,0.6,0.4445,8.553430821147357,0.7682789651293588
neural_baseline_lambda_s_0,1,0.7,0.321,8.01246105919003,0.8052959501557633
neural_baseline_lambda_s_0,1,0.8,0.205,8.43170731707317,0.8731707317073171
neural_baseline_lambda_s_0,1,0.9,0.13,5.938461538461539,0.8653846153846154
neural_claq_lambda_s_0_4,1,0.5,0.5765,6.5394622723330444,0.6643538594969645
neural_claq_lambda_s_0_4,1,0.6,0.386,8.325129533678757,0.7759067357512953
neural_claq_lambda_s_0_4,1,0.7,0.2735,8.058500914076783,0.8281535648994516
neural_claq_lambda_s_0_4,1,0.8,0.188,10.438829787234043,0.875
neural_claq_lambda_s_0_4,1,0.9,0.101,7.311881188118812,0.905940594059406
neural_baseline_lambda_s_0,2,0.5,0.577,7.331889081455806,0.6377816291161178
neural_baseline_lambda_s_0,2,0.6,0.456,8.380482456140351,0.743421052631579
neural_baseline_lambda_s_0,2,0.7,0.3865,9.228978007761967,0.7697283311772316
neural_baseline_lambda_s_0,2,0.8,0.194,10.038659793814434,0.8711340206185567
neural_baseline_lambda_s_0,2,0.9,0.118,8.334745762711865,0.902542372881356
neural_claq_lambda_s_0_4,2,0.5,0.539,7.046382189239332,0.6437847866419295
neural_claq_lambda_s_0_4,2,0.6,0.43,8.045348837209302,0.7523255813953489
neural_claq_lambda_s_0_4,2,0.7,0.34,8.316176470588236,0.775
neural_claq_lambda_s_0_4,2,0.8,0.2355,8.284501061571126,0.802547770700637
neural_claq_lambda_s_0_4,2,0.9,0.1415,9.56183745583039,0.872791519434629
neural_baseline_lambda_s_0,3,0.5,0.613,7.629690048939641,0.6769983686786297
neural_baseline_lambda_s_0,3,0.6,0.507,7.4191321499013805,0.7416173570019724
neural_baseline_lambda_s_0,3,0.7,0.336,8.933035714285714,0.8273809523809523
neural_baseline_lambda_s_0,3,0.8,0.2535,7.8599605522682445,0.8303747534516766
neural_baseline_lambda_s_0,3,0.9,0.1385,5.675090252707581,0.8664259927797834
neural_claq_lambda_s_0_4,3,0.5,0.4905,6.037716615698267,0.5953109072375128
neural_claq_lambda_s_0_4,3,0.6,0.286,6.0821678321678325,0.7167832167832168
neural_claq_lambda_s_0_4,3,0.7,0.181,6.292817679558011,0.7734806629834254
neural_claq_lambda_s_0_4,3,0.8,0.128,8.66015625,0.88671875
neural_claq_lambda_s_0_4,3,0.9,0.056,3.982142857142857,0.9642857142857143
neural_baseline_lambda_s_0,4,0.5,0.5935,7.834035383319292,0.6941870261162595
neural_baseline_lambda_s_0,4,0.6,0.554,7.912454873646209,0.7310469314079422
neural_baseline_lambda_s_0,4,0.7,0.427,9.240046838407494,0.7740046838407494
neural_baseline_lambda_s_0,4,0.8,0.33,9.315151515151515,0.806060606060606
neural_baseline_lambda_s_0,4,0.9,0.113,8.690265486725664,0.9026548672566371
neural_claq_lambda_s_0_4,4,0.5,0.509,6.774066797642436,0.6365422396856582
neural_claq_lambda_s_0_4,4,0.6,0.4115,8.277035236938032,0.7387606318347509
neural_claq_lambda_s_0_4,4,0.7,0.3515,9.285917496443812,0.7453769559032717
neural_claq_lambda_s_0_4,4,0.8,0.157,8.003184713375797,0.8407643312101911
neural_claq_lambda_s_0_4,4,0.9,0.0565,3.575221238938053,0.9646017699115044
