run_name,lambda_s,seed,epoch,validation_acc,validation_sens_q_rate,validation_loss,validation_q_entropy,actor_eps
baseline,0.0,0,5,0.72753812855489,0.7294187664985656,0.7494432300329208,6.999858692324779e-06,0.19999999999999996
lam_0.20,0.2,0,5,0.7204409321991242,0.38889498710632325,0.800631582736969,6.999858692324779e-06,0.19999999999999996
lam_0.40,0.4,0,5,0.7012130668948507,0.07647636756300927,0.859702754020691,6.999858692324779e-06,0.19999999999999996
baseline,0.0,1,5,0.7244173755473902,0.5790514260530472,0.7711565375328064,6.999858692324779e-06,0.19999999999999996
lam_0.20,0.2,1,5,0.7143000956359793,0.39665367007255553,0.8007491290569305,6.999858692324779e-06,0.19999999999999996
lam_0.40,0.4,1,5,0.6830422308350531,0.000390625,0.8723986595869064,6.999858692324779e-06,0.19999999999999996
baseline,0.0,2,5,0.7238133588362612,0.5739989638328552,0.7527931869029999,6.999858692324779e-06,0.19999999999999996
lam_0.20,0.2,2,5,0.7067498867468667,0.32933798134326936,0.8369414985179902,6.999858692324779e-06,0.19999999999999996
lam_0.40,0.4,2,5,0.6963305984798913,0.10415526144206524,0.8701901346445083,6.999858692324779e-06,0.19999999999999996
baseline,0.0,3,5,0.7276387980067448,0.6911723256111145,0.7614142894744873,6.999858692324779e-06,0.19999999999999996
lam_0.20,0.2,3,5,0.7125887149544471,0.26360130608081817,0.8266907215118409,6.999858692324779e-06,0.19999999999999996
lam_0.40,0.4,3,5,0.6950218956057784,0.0008780746255069971,0.8730884313583374,6.999858692324779e-06,0.19999999999999996
baseline,0.0,4,5,0.7216993003473096,0.5073916986584663,0.7855711072683335,6.999858692324779e-06,0.19999999999999996
lam_0.20,0.2,4,5,0.720289928021342,0.4639330044388771,0.795111420750618,6.999858692324779e-06,0.19999999999999996
lam_0.40,0.4,4,5,0.6896864146574722,0.00029296875,0.8704092860221863,6.999858692324779e-06,0.19999999999999996
