dataset,run_name,seed,horizon,lambda_s,lambda_c,accuracy,mean_cumulative_cost,sensitive_query_rate,probe_leakage_bits,probe_test_cross_entropy_bits,probe_conditional_entropy_bits,probe_selected_c,probe_test_accuracy
CelebA,base,0,15,0.0,0.0,0.7698627392044886,23.76070785522461,0.21780048310756683,0.7814814625854555,0.06544047942112376,0.8469219420065792,1.0,0.9907824867247771
CelebA,leak,0,15,0.4,0.0,0.7146578499148382,24.12464714050293,0.0,0.15189647548686513,0.6950254665197141,0.8469219420065792,10.0,0.7578899909828675
CelebA,cost,0,15,0.0,0.2,0.7591423705039575,22.540849685668945,0.4000000059604645,0.7843971771533051,0.06252476485327407,0.8469219420065792,1.0,0.9904819156397154
CelebA,joint,0,15,0.4,0.01,0.7502254283137962,23.58418846130371,0.13333334028720856,0.38376609988694627,0.46315584211963295,0.8469219420065792,10.0,0.8338342851417694
CelebA,base,1,15,0.0,0.0,0.7803326320008015,24.380247116088867,0.19211836159229279,0.7770357565004415,0.06988618550613768,0.8469219420065792,1.0,0.9888788698527202
CelebA,leak,1,15,0.4,0.0,0.7197675583608857,24.57242774963379,0.0007748054340481758,0.14226022043595032,0.7046617215706289,0.8469219420065792,10.0,0.7363991584009618
CelebA,cost,1,15,0.0,0.2,0.7585913235146778,22.54084587097168,0.4000000059604645,0.7844029766019877,0.06251896540459159,0.8469219420065792,1.0,0.9904819156397154
CelebA,joint,1,15,0.4,0.01,0.7167618475102695,24.007526397705078,0.0,0.14943096760128305,0.6974909744052962,0.8469219420065792,10.0,0.7317904017633504
CelebA,base,2,15,0.0,0.0,0.7734194970443843,24.06751251220703,0.25842100381851196,0.7822389209886975,0.0646830210178817,0.8469219420065792,0.1,0.9905320108205591
CelebA,leak,2,15,0.4,0.0,0.7027351968740607,24.382959365844727,0.06666667014360428,0.20796852163740764,0.6389534203691716,0.8469219420065792,10.0,0.753030758441038
CelebA,cost,2,15,0.0,0.2,0.7593928464081755,22.54084587097168,0.4000000059604645,0.7844029766019877,0.06251896540459159,0.8469219420065792,1.0,0.9904819156397154
CelebA,joint,2,15,0.4,0.01,0.7161106101593027,23.7039852142334,0.0,0.15768818980675248,0.6892337521998267,0.8469219420065792,10.0,0.7436629596232842
CelebA,base,3,15,0.0,0.0,0.7726179741508867,24.777149200439453,0.26199445128440857,0.6186349454536622,0.22828699655291707,0.8469219420065792,1.0,0.9267107504258091
CelebA,leak,3,15,0.4,0.0,0.7586915138763651,24.502254486083984,0.13322311639785767,0.3948217553800796,0.45210018662649964,0.8469219420065792,1.0,0.8292756236850015
CelebA,cost,3,15,0.0,0.2,0.7582406572487727,22.54084587097168,0.4000000059604645,0.7844029766019877,0.06251896540459159,0.8469219420065792,1.0,0.9904819156397154
CelebA,joint,3,15,0.4,0.01,0.7249774571686204,23.25168228149414,0.20831580460071564,0.2830662671589841,0.5638556748475951,0.8469219420065792,0.1,0.7962628995090673
CelebA,base,4,15,0.0,0.0,0.7685101693217112,24.547500610351562,0.18339845538139343,0.5229102032942206,0.3240117387123587,0.8469219420065792,0.1,0.8839294659853723
CelebA,leak,4,15,0.4,0.0,0.7623484620779482,24.353107452392578,0.06666667014360428,0.36140502426066984,0.4855169177459094,0.8469219420065792,10.0,0.8212603947500251
CelebA,cost,4,15,0.0,0.2,0.7550345656747821,22.54084587097168,0.4000000059604645,0.7844029766019877,0.06251896540459159,0.8469219420065792,1.0,0.9904819156397154
CelebA,joint,4,15,0.4,0.01,0.7565875162809338,23.512126922607422,0.12430952489376068,0.3612673448721172,0.485654597134462,0.8469219420065792,1.0,0.8216110610159303
