run_name,lambda_s,seed,epoch,validation_acc,validation_sens_q_rate,validation_loss,validation_q_entropy,actor_eps
baseline,0.0,0,5,0.7242663713696079,0.6649979561567306,0.7472903937101364,6.999858692324779e-06,1.0
lam_0.20,0.2,0,5,0.7206926058287613,0.40458948761224744,0.7971865952014923,6.999858692324779e-06,1.0
lam_0.40,0.4,0,5,0.6978406402577138,0.10525430999696254,0.8591527789831161,6.999858692324779e-06,1.0
baseline,0.0,1,5,0.7210952836361806,0.539605787396431,0.7589228540658951,6.999858692324779e-06,1.0
lam_0.20,0.2,1,5,0.720289928021342,0.4373688414692879,0.797131484746933,6.999858692324779e-06,1.0
lam_0.40,0.4,1,5,0.6872200130870287,0.000390625,0.8719481319189072,6.999858692324779e-06,1.0
baseline,0.0,2,5,0.721749635073237,0.5899161010980606,0.7592240571975708,6.999858692324779e-06,1.0
lam_0.20,0.2,2,5,0.7032264559319474,0.20636571422219277,0.8562129259109497,6.999858692324779e-06,1.0
lam_0.40,0.4,2,5,0.6988976695021896,0.11264969184994697,0.8718247294425965,6.999858692324779e-06,1.0
baseline,0.0,3,5,0.7214979614435999,0.49525749385356904,0.7791350483894348,6.999858692324779e-06,1.0
lam_0.20,0.2,3,5,0.7155081290582372,0.29924250990152357,0.8323237836360932,6.999858692324779e-06,1.0
lam_0.40,0.4,3,5,0.6984446569688428,0.001416015625,0.8775285661220551,6.999858692324779e-06,1.0
baseline,0.0,4,5,0.719585241858358,0.5148359090089798,0.7888818860054017,6.999858692324779e-06,1.0
lam_0.20,0.2,4,5,0.7177228569990436,0.3952691361308098,0.8043725162744522,6.999858692324779e-06,1.0
lam_0.40,0.4,4,5,0.6950722303317058,0.00126953125,0.8721461027860642,6.999858692324779e-06,1.0
